Title,Author,Description,Theme,Genre
Valhalla Rising (Dirk Pitt Adventures (Hardcover)),Clive Cussler,"Dirk Pitt races to rescue passengers from a cruise ship and to investigate, but he has no idea of the bizarre chain of events that are about to engulf him.",Galactic Adventures,Science Fiction
Stillwatch,MARY HIGGINS CLARK,"With the help of old flame Congressman Sam Kingsley, young television journalist Pat Traymore delves into Senator Abigail Jennings's life, only to turn up horrifying facts that threaten to destroy the senator's reputation and career. Worse still, sinister connections to Pat's own childhood and the nightmare secrets hidden within it are surfacing--secrets waiting to destroy her. Reprint. Copyright © Libri GmbH. All rights reserved.",Relationships and Family Dynamics,Romance & Relationships
A Dangerous Fortune,Ken Follett,"A breathtaking thriller featuring ""political and amorous intrigues, cold-blooded murder, and financial crises"" (San Francisco Chronicle), from the #1 New York Times bestselling author of A Column of Fire In 1866, tragedy strikes the exclusive Windfield School when a young student drowns in a mysterious accident. His death and its aftermath initiate a spiraling circle of treachery that will span three decades and entwine many lives. From the exclusive men’s clubs and brothels that cater to every dark desire of London’s upper class to the dazzling ballrooms and mahogany-paneled suites of the manipulators of the world’s wealth, one family is splintered by a shared legacy. But greed, fed by the shocking truth of a boy’s death, must be stopped, or the dreams of a nation will die. Praise for A Dangerous Fortune “A terrific page-turner.”—Los Angeles Times “Political and amorous intrigues, cold-blooded murder, and financial crises . . . old-fashioned entertainment.”—San Francisco Chronicle “Breathlessly plotted . . . relentlessly suspenseful.”—The New York Times “Gripping, complex plot . . . sexual intrigue . . . fascinating characters . . . You won’t be able to put down this exciting page-turner.”—Lexington Herald-Leader “Follett [builds] to a dramatic climax with the same masterful control that guided Eye of the Needle and The Pillars of the Earth.”—Playboy “I don’t usually enjoy historical thrillers but admit to being totally captivated by Ken Follett’s A Dangerous Fortune.”—Chicago Tribune “Highly entertaining . . . Follett’s characters are drawn with broad, realistic strokes . . . this story of greed and retribution should win Follett new fans.”—Publishers Weekly “Rich, complex, thrilling, suspenseful, well plotted . . . A Dangerous Fortune is dangerous reading. You won’t be able to put it down.”—Authors and Critics",Murder Mystery,Crime & Detective Fiction
A Pirate Looks at Fifty,Jimmy Buffett,"The highly popular singer-songwriter presents a number-one New York Times best-seller recounting his trip around the Caribbean in search of the perfect fishing spot, seasoned with reflections on growing up in the 1950s. Reprint.",Humor and Satire,Humor & Satire
On Wings of Eagles,Ken Follett,The story of a group of executives who were recruited to rescue two other executives from their imprisonment in Tehran.,Espionage Thriller,Action & Psychological Thrillers
Dying for Chocolate (Culinary Mysteries (Paperback)),DIANE MOTT DAVIDSON,"From New York Times bestselling author Diane Mott Davidson—now a Hallmark Mystery Curious Caterer Original Movie “A classic whodunit . . . the perfect book for food lovers.”—New York Daily News Goldy Bear is the bright, opinionated, wildly inventive caterer whose personal life is a recipe for disaster, with bills taking a bite out of her budget and her abusive ex-husband making tasteless threats. Determined to take control, Goldy moves her business to the ritzy Aspen Meadow Country Club. Soon she’s preparing decadent dinners and posh society picnics—and enjoying the favors of Philip Miller, a handsome local shrink, and Tom Schulz, her more-than-friendly neighborhood cop. Until, that is, the dishy doctor drives his BMW into an oncoming bus. Convinced that Philip’s bizarre death was no accident, Goldy begins to sift through the dead doc’s unpalatable secrets. But this case is seasoned with unexpected danger and even more unexpected revelations—the kind that could get a caterer killed. Includes recipes!",Culinary Arts,Culinary Arts
The Lottery Winner: Alvirah and Willy Stories,Mary Higgins Clark,Short stories starring Alvirah and Willy Meehan.,Gothic Vampire Fiction,Fantasy Literature
"Oh, the Places You'll Go!",Dr. Seuss,"Dr. Seuss’s wonderfully wise Oh, the Places You’ll Go! is the perfect gift to celebrate all of our special milestones—from graduations to birthdays and beyond! “[A] book that has proved to be popular for graduates of all ages since it was first published.”—The New York Times From soaring to high heights and seeing great sights to being left in a Lurch on a prickle-ly perch, Dr. Seuss addresses life’s ups and downs with his trademark humorous verse and whimsical illustrations. The inspiring and timeless message encourages readers to find the success that lies within, no matter what challenges they face. A perennial favorite and a perfect gift for anyone starting a new phase in their life!",Cozy Mysteries,Action & Psychological Thrillers
Farewell to Arms,Ernest Hemingway,"By turns romantic and harshly realistic, Hemingway's story of a tragic romance set against the brutality and confusion of World War I cemented his fame as a stylist and as a writer of extraordinary literary power. A volunteer ambulance driver and a beautiful English nurse fall in love when he is wounded on the Italian front. Copyright © Libri GmbH. All rights reserved.",Russian Literature,Literary Classics
Defend and Betray (William Monk Novels (Paperback)),Anne Perry,General Carlyon is killed in what first appears to be a freak accident. But the general's wife readily confesses that she did it. With the trial only days away the counsel for defense work feverishly to break down the wall of silence.,Crime Thrillers and Detective Drama,Crime & Detective Fiction
Forgiving,LaVyrle Spencer,"When Sarah Merritt arrives in Dakota Territory in 1876, she steps off the dusty Cheyenne stagecoach determined to start this ramshackle gold-rush town’s first newspaper. In Deadwood, her runaway younger sister, Addie, is living and working as domestic help at Mrs. Hossiter’s boardinghouse, according to her letters. Five years after Addie’s flight from home, Sarah is carrying the sad news that their one remaining parent, newspaper publisher Isaac Merritt, has died. But when Sarah—tall, prim, and nearly a spinster at twenty-five—sets up her father’s printing press in the middle of Main Street, she finds herself at loggerheads with Sheriff Noah Campbell. Headstrong and opinionated, with an auburn mustache and grinning gray eyes, he arrests her on the spot. And so begins an enmity between two willful individuals that can change only when they find themselves united in a common goal: to reclaim the Addie that Sarah once knew. But life is never simple. Mrs. Hossiter is more commonly known as Rosie in this bawdy frontier town, and Addie’s work is as an “upstairs girl,” not an upstairs maid. Addie is furious when Sarah turns up at the bordello—and she tells her proper sister to get out. What could have happened to change Addie so—and what can Sarah do to regain the sweet sister of her youth and bring her home again?",Relationships and Family Dynamics,Romance & Relationships
Lord of Hawkfell Island,Catherine Coulter,"First in Catherine Coulter's bestselling Vikings series. On a Viking fortress raid, the Lord of Hawkfell Island plans to take the beautiful Mirana hostage. But she has other plans for the lord.",Historical Time-Travel Romance,Romance & Relationships
Silent Treatment,Michael Palmer,"In his five bestselling novels, from The Sisterhood to Natural Causes, physician Michael Palmer has drawn on years of firsthand emergency-room experience to create the drama of a frighteningly authentic world--a world where the line between medicine and murder is scalpel-thin. Now, in his most harrowing suspense novel yet, Palmer reveals how the power to heal can become a license to kill.... With his wife, Evie, scheduled for surgery the next day, Dr. Harry Corbett goes to the hospital for what he hopes will be a quiet evening of reconciliation. In recent weeks Evie, never quick to share her feelings, has been more closed and distant than ever. But when Harry reaches Evie's room, it is too late for reconciliation. Shockingly, without warning, Evie is dead. The police suspect homicide. And their only suspect is Dr. Harry Corbett. Harry is not prepared for the stunning revelations that follow: His bright, beautiful, highly ambitious wife was leading a double life; she may have had dangerous secrets. But what secret could have been explosive enough to die for? Then the killer strikes again, boldly, tauntingly murdering one of Harry's favorite patients in such a way that only Harry knows the death was not natural. This time Harry is certain: The killer, medically sophisticated, coolly arrogant, moving undetected through a busy urban hospital, could only be a doctor. And he wonders--how many more will die? Desperately Harry probes deeper, following the only clue Evie left. What he finds is a sinister pattern that threatens patients in every hospital in the city. Harry is engaged in a life-and-death battle of wits with a chillingly efficient monster. And until the doctor is unmasked, no patient is safe from his lethal silent treatment. Michael Palmer has done it again, delivering a no-holds-barred novel of medical intrigue-- a gripping thriller that features the most terrifying physician since Hannibal Lecter. Silent Treatment will keep your pulse racing from beginning to end",Espionage Thriller,Action & Psychological Thrillers
Miracle Cure,Michael Palmer,"The master of medical suspense takes you to prestigious Boston Heart Institute, where some patients are dying to get well “A highly entertaining tale of greed and medicine run amok.”—Chicago Tribune After a troubled past, Dr. Brian Holbrook has been given a second chance to prove himself. At state-of-the-art Boston Heart Institute, he’s been chosen to join the medical team testing a new miracle drug. The initial results are so promising that Brian pushes to get his father—who suffers from a dangerous heart condition—accepted into the study. But Brian is beginning to suspect his superiors are hiding something. Why are crucial records disappearing? Why did a patient making startling progress suddenly die? Is the miracle drug a prescription for death? The answers could cost Brian more than his career. For at Boston Heart Institute, knowing too much is the quickest way to the morgue. Praise for Miracle Cure “Packs plenty of heart-stopping action.”—Associated Press “A fast-paced lively thriller.”—Boston Sunday Herald",Espionage Thriller,Action & Psychological Thrillers
We Were Soldiers Once... and Young: Ia Drang--The Battle That Changed the War in Vietnam,Harold G. Moore,"Examines the 1965 Battle of Ia Drang, in the central highlands of South Vietnam, providing an account of the battle and discussing the implications of this key confrontation.",Galactic Adventures,Science Fiction
Angels,Marian Keyes,"Maggie has always been the white sheep of the Walsh family. Unlike her comically dysfunctional sisters, Rachel (heroine of Rachel's Holiday) and Claire (heroine of Watermelon), she married a decent man who adored her and found herself a solid career. Where Rachel was reckless and Claire dramatic, Maggie settled early for safety. Or so she believed -- until she discovers that her husband is having an affair and her boss is going to fire her. Suddenly, her perfectly organized life has become a perfect mess. Devastated, she decides the only thing to do is to run for the shelter of her best friend, Emily, who lives in Los Angeles. There, with the help of sunshine and long days at the beach, she will lick her wounds and decide where life will take her next. But from the moment she lands in the City of Angels, things are not quite what she expected. Overnight, she's mixing with movie stars, even pitching film scripts to studios. Most unexpectedly of all, she finds that just because her marriage is over, it doesn't mean her life is. In the end neither the City of Angels nor Maggie Walsh will ever be the same again.",Relationships and Family Dynamics,Romance & Relationships
The Persian Pickle Club,Sandra Dallas,"It is the 1930s, and hard times have hit Harveyville, Kansas, where the crops are burning up, and there's not a job to be found. For Queenie Bean, a young farm wife, a highlight of each week is the gathering of the Persian Pickle Club, a group of local ladies dedicated to improving their minds, exchanging gossip, and putting their quilting skills to good use. When a new member of the club stirs up a dark secret, the women must band together to support and protect one another. In her magical, memorable novel, Sandra Dallas explores the ties that unite women through good times and bad.",Relationships and Family Dynamics,Romance & Relationships
Open House (Oprah's Book Club (Paperback)),Elizabeth Berg,"In this superb novel by the beloved author of Talk Before Sleep, The Pull of the Moon, and Until the Real Thing Comes Along, a woman re-creates her life after divorce by opening up her house and her heart. Samantha's husband has left her, and after a spree of overcharging at Tiffany's, she settles down to reconstruct a life for herself and her eleven-year-old son. Her eccentric mother tries to help by fixing her up with dates, but a more pressing problem is money. To meet her mortgage payments, Sam decides to take in boarders. The first is an older woman who offers sage advice and sorely needed comfort; the second, a maladjusted student, is not quite so helpful. A new friend, King, an untraditional man, suggests that Samantha get out, get going, get work. But her real work is this: In order to emerge from grief and the past, she has to learn how to make her own happiness. In order to really see people, she has to look within her heart. And in order to know who she is, she has to remember--and reclaim--the person she used to be, long before she became someone else in an effort to save her marriage. Open House is a love story about what can blossom between a man and a woman, and within a woman herself.",Relationships and Family Dynamics,Romance & Relationships
The Fourth Hand,JOHN IRVING,"The Fourth Hand asks an interesting question: ""How can anyone identify a dream of the future?"" The answer: ""Destiny is not imaginable, except in dreams or to those in love."" While reporting a story from India, a New York television journalist has his left hand eaten by a lion; millions of TV viewers witness the accident. In Boston, a renowned hand surgeon awaits the opportunity to perform the nation's first hand transplant; meanwhile, in the distracting aftermath of an acrimonious divorce, the surgeon is seduced by his housekeeper. A married woman in Wisconsin wants to give the one-handed reporter her husband's left hand-that is, after her husband dies. But the husband is alive, relatively young, and healthy. This is how John Irving's tenth novel begins; it seems, at first, to be a comedy, perhaps a satire, almost certainly a sexual farce. Yet, in the end, The Fourth Hand is as realistic and emotionally moving as any of Mr. Irving's previous novels-including The World According to Garp, A Prayer for Owen Meany, and A Widow for One Year-or his Oscar-winning screenplay of The Cider House Rules. The Fourth Hand is characteristic of John Irving's seamless storytelling and further explores some of the author's recurring themes-loss, grief, love as redemption. But this novel also breaks new ground; it offers a penetrating look at the power of second chances and the will to change.",Relationships and Family Dynamics,Romance & Relationships
Tales from Watership Down,Richard Adams,"Return Again to the Warren for the All-New Adventures of Fiver, Hazel, BigWig, Dandelion, and The Legendary El-Ahrairah. In one of the most enduring classics of contemporary literature, author Richard Adams enthralled millions of readers by creating a glorious world of danger and discovery at once uniquely strange and strikingly similar to our own. Come back now to this remarkable society hidden beneath the tall grasses and open fields; to old friends and new heroes whose courage and tenacity are tested at every turn by predatory nature and the short-sighted cruelties of man. Come back to the excitement and enchantment, to the heartsoaring wonder of a place called Watership Down.",Epic Fantasy,Fantasy Literature
Bee Season,Myla Goldberg,"""Myla Goldberg's ""Bee Season"" is a bittersweet coming-of-age in which wise little Eliza Naumann's quirky passion for spelling bees unites and divides her family while revealing universal truths about the often crippling pain of love"".--Martha McPhee, author of ""Bright Angel Time"".",Wizarding World,Fantasy Literature
The Sisterhood of the Traveling Pants,Ann Brashares,Four best girlfriends spend the biggest summer of their lives enchanted by a magical pair of pants.,Relationships and Family Dynamics,Romance & Relationships
Joy Luck Club,Amy Tan,"Encompassing two generations and a rich blend of Chinese and American history, the story of four struggling, strong women also reveals their daughter's memories and feelings.",Spiritual & Mindfulness,Spiritual & Mindfulness
The Kitchen God's Wife,Amy Tan,"Winnie and Helen have kept each other's worst secrets for more than fifty years. Now, because she believes she is dying, Helen wants to expose everything. And Winnie angrily determines that she must be the one to tell her daughter, Pearl, about the pastâ€”including the terrible truth even Helen does not know. And so begins Winnie's story of her life on a small island outside Shanghai in the 1920s, and other places in China during World War II, and traces the happy and desperate events that led to Winnie's coming to America in 1949.",War & Historical Drama,War & Historical Drama
Simply Divine,Wendy Holden,"In this whimsical and satirical novel that's already a smash hit in England, a writer for a glossy women's magazine lands the nightmare assignment of ghostwriting for the town's latest bedazzling socialite.",American Literature & Classic Prose,Literary Classics
Sahara,Clive Cussler,"Stranded on the Sahara desert, Dirk Pitt and his friends uncover the truth about the fate of 1930s aviator Kitty Mannock and the secret behind Lincoln's assassination. 400,000 first printing. Major ad/promo.",Galactic Adventures,Science Fiction
SHOCK WAVE (Dirk Pitt Adventures (Hardcover)),Clive Cussler,The latest Dirk Pitt adventure pits him against an evil diamond tycoon.,Galactic Adventures,Science Fiction
FLOOD TIDE,Clive Cussler,Dirk Pitt fights a Chinese smuggler who is an expert at getting illegal immigrants into the United States. Thrown into the mix is the lost treasure of Chiang Kai-shek.,Galactic Adventures,Science Fiction
Jemima J.,Jane Green,"""""If I had one wish in all the world, I wouldn't wish to win the lottery. Nor would I wish for true love. No, if I had one wish I would wish to have a model's figure, probably Cindy Crawford's, and I would extend that wish into having and keeping a model's figure, no matter what I eat."" Jemima Jones is overweight. About 98 pounds overweight. Treated like a maid by her thin social-climbing roommates, and lorded over by the beautiful Geraldine (less talented but better paid) at the ""Kilburn Herald, Jemima's only consolation is food. Add to this her passion for her charming, sexy, and unobtainable colleague Ben, and Jemima knows her life is in need of a serious change. When she meets Brad, an eligible California hunk, over the Internet, Jemima has the perfect opportunity to reinvent herself--as JJ, the slim, beautiful, gym-obsessed glamour girl of her dreams. But when her long-distance Romeo demands that they meet, she must conquer her food addiction to become the bone-thin model of her e-mails-- no small feat. This is just the beginning of Jemima's transformation, a process that takes her through enormous physical and emotional change and halfway around the globe. First published in the UK to great fanfare, Jemima J spent nine weeks on the bestseller lists. Jane Green's brilliant wit, warm sense of humor and honesty ensure that her success will continue--on both sides of the Atlantic. Jemima J is a heroine who'll work her way into your heart, making you laugh through foible and folly as she sets out to reinvent her life and along the way learns a host of lessons about attraction, addiction, the meaning of true love, and, ultimately, who she really is. With a fast-paced plotand a surprise ending no reader will see coming, Jemima J is the chronicle of one woman's quest to become the woman she's always wanted to be.",Relationships and Family Dynamics,Romance & Relationships
Bookends,Jane Green,"British sensation Jane Green delivers a sparkling tale of old friends reunited and old jealousies rekindled. Catherine Warner and Simon Nelson are best friends: total opposites, always together, and both unlucky in love. Cath is scatterbrained, messy, and—since she had her heart broken a few years back—emotionally closed off. Si is impossibly tidy, bitchy, and desperate for a man of his own. They live in London’s West Hampstead along with their lifelong friends, Josh and Lucy, who are happily married with a devil-spawn child and a terrifying Swedish nanny, Ingrid. All’s well (sort of) until the sudden arrival of a college friend—the stunningly beautiful Portia, who is known for breaking hearts. Though they’ve grown up and grown apart from Portia, the four friends welcome her back into the fold. But does Portia have a hidden agenda or is she merely looking to reconnect with old friends? Her reappearance soon unleashes a rollicking series of events that tests the foursome’s friendships to the limit and leaves them wondering if a happy ending is in store. Fortunately, Cath has plenty to take her mind off Portia’s schemes—like her gutsy decision to leave her job in advertising to fulfill her dream of opening a bookstore. And then there’s James, the sexy real-estate agent who keeps dropping by even after the bookstore deal is done. With his irresistible smile and boyish charm could he be the one to melt Cath’s heart? Told with Jane Green’s captivating wit and flare, Bookends is above all a story about friendship—its twists, turns and complications—and how it weathers the challenges of love, ambition, marriage, and, most of all, growing up. Warmhearted, sophisticated, and full of delicious surprises, Bookends is Green’s most dazzling novel yet.",Relationships and Family Dynamics,Romance & Relationships
How to Be Good,Nick Hornby,"Katie, a liberal, urban mother and doctor from North London, finds her life turned upside down when her husband, David, undergoes an outrageous spiritual transformation, in a hilarious novel about marriage, parenthood, religion, and morality. By the author of High Fidelity and About a Boy. 75,000 first printing.",Spiritual & Mindfulness,Spiritual & Mindfulness
Red Phoenix,Larry Bond,"This thundering geopolitical thriller dares reveal the military hardware, global upheavals, and raw combat that a second Korean War would unleash.",Galactic Adventures,Science Fiction
That Camden Summer,Lavyrle Spencer,"Scorned by family members for her divorced status, free-thinking Roberta Jewett scandalizes her early twentieth-century hometown by getting a job and a car before entering an unlikely relationship with widowed contractor Gabriel Farley.",Crime Thrillers and Detective Drama,Crime & Detective Fiction
Boy's Life,Robert McCammon,"""Zephyr, Alabama, has been an idyllic home for eleven-year-old Cory Mackenson ... a place where monsters swim in the belly of the river, and friends are forever. Then, on a cold spring morning in 1964, as Cory accompanies his father on his milk route, they see a car plunge into a lake some say is bottomless.""--Page 4 of cover",Relationships and Family Dynamics,Romance & Relationships
A Springwater Christmas (Springwater Seasons),Linda Lael Miller,"In this conclusion to the ""Springwater"" series, Jacob and June-bug McCafferty get some starling news when a mysterious stranger returns to Springwater. As the now-bustling little town continues to grow, a new arrival establishes a hotel, and romance blossoms for a Christmas wedding.",Relationships and Family Dynamics,Romance & Relationships
Without A Trace,Nora Roberts,"Trace had turned his back on responsiblity and commitment long ago. Gillian Fitzpatrick was frightened and desperate--her brother had disappeared. Trace was her only hope. He had the connections, the expertise and the guts. But just what was she going to have to do to convince him to help her?",Crime Thrillers and Detective Drama,Crime & Detective Fiction
Blackbird : A Childhood Lost and Found,Jennifer Lauck,"With the startling emotional immediacy of a fractured family photo album, Jennifer Lauck's incandescent memoir is the story of an ordinary girl growing up at the turn of the 1970s and the truly extraordinary circumstances of a childhood lost. Wrenching and unforgettable, Blackbird will carry your heart away. To young Jenny, the house on Mary Street was home -- the place where she was loved, a blue-sky world of Barbies, Bewitched, and the Beatles. Even her mother's pain from her mysterious illness could be patted away with powder and a kiss on the cheek. But when everything that Jenny had come to rely on begins to crumble, an odyssey of loss, loneliness, and a child's will to survive takes flight....",Relationships and Family Dynamics,Romance & Relationships
Priestess of Avalon,Marion Zimmer Bradley,"Prequel to: Lady of Avalon, Mists of Avalon.",Arthurian Legends and Magic,Fantasy Literature
Sacrament,Clive Barker,"Living and dying, we feed the fire. Will Rabjohns, perhaps the most famous wildlife photographer in the world, has made his reputation chronicling the fates of endangered species. But after a terrible accident, Will is left in a coma. And in its depths, he revisits the wildernesses of his youth and relives his life with a mysterious couple who have influenced his life as an artist and a man. When Will awakens, he sets out on a journey of self-discovery--one where he will penetrate the ultimate mystery and finally unlock the secret of his destiny. Soaring, provocative and passionate, Sacrament is a masterwork from the pen of one of today's moist acclaimed authors.",Spiritual & Mindfulness,Spiritual & Mindfulness
The Vanished Child,Sarah Smith,"""Truly mesmerizing."" MILWAUKEE JOURNAL New England, 1887. The millionaire William Knight is brutally murdered and the only witness is his grandchild, Richard, who himself disappears, and is presumed dead. Eighteen years later, Richard is ""recognized"" in Switzerland in the person of Alexander von Reisden, and William Knight's only son, Gilbert, is convinced that this man is the long lost child. Reisden, himself, has no memory of any childhood, and his own growing obsession with finding the real Richard is leading him closer to a shattering thruth. And to a killer, still at large.... ""A most satisfying tale."" NEW YORK DAILY NEWS A NEW YORK TIMES NOTABLE BOOK",Crime Thrillers and Detective Drama,Crime & Detective Fiction
J is for Judgment,Sue Grafton,Detective Kinsey Millhone investigates the pseudocide of a California businessman.,Crime Thrillers and Detective Drama,Crime & Detective Fiction
McNally's Secret (Archy McNally Novels (Paperback)),Lawrence Sanders,"On the Gold Coast of Florida, playboy investigator Archy McNally is called in to retrieve some priceless stamps that have been stolen.",Holiday Classics,Holiday Stories
If Tomorrow Comes,Sidney Sheldon,"Lovely, idealistic Tracy Whitney is framed into a fifteen year sentence in an escape-proof penitentiary. With dazzling ingenuity she fights back to destroy the untouchable crime lords who put her there. With her intelligence and beauty as her only weapons, Tracy embarks on a series of extraordinary escapades that sweep her across the globe. In an explosive confrontation Tracy meets her equal in irresistible Jeff Stevens, whose past is as colorful as Tracy's.",Murder Mystery,Crime & Detective Fiction
Cry Wolf,TAMI HOAG,Attorney Laurel Chandler did not come back to Bayou Breaux to seek justice.,Crime Thrillers and Detective Drama,Crime & Detective Fiction
The Golden One,Elizabeth Peters,"At the start of this fourteenth adventure for Amelia, which continues the wartime theme begun in Lord of the Silent, it is New Year's Eve, 1917. Risking winter storms and German torpedoes, the Emersons are heading for Egypt once again: Amelia, Emerson, their son Ramses and his wife Nefret. Emerson is counting on a long season of excavation without distractions but this proves to be a forlorn hope. Yet again they unearth a dead body in a looted tomb - not a mummified one though, this one is only too fresh, and it leads the clan on a search for the man who has threatened them with death if they pursue the excavations. If that wasn't distraction enough, Nefret reveals a secret she has kept hidden: there is reason to believe that Sethos, master criminal and spy may be helping the enemy. It's up to the Emersons to find out, and either prove his innocence or prevent him from betraying Britain's plans to take Jerusalem and win the war in the Middle East.",War & Historical Drama,War & Historical Drama
"Out of Africa ; and, Shadows on the grass",Isak Dinesen,"In this book, the author of Seven Gothic Tales gives a true account of her life on her plantation in Kenya. She tells with classic simplicity of the ways of the country and the natives: of the beauty of the Ngong Hills and coffee trees in blossom: of her guests, from the Prince of Wales to Knudsen, the old charcoal burner, who visited her: of primitive festivals: of big game that were her near neighbors--lions, rhinos, elephants, zebras, buffaloes--and of Lulu, the little gazelle who came to live with her, unbelievably ladylike and beautiful. The Random House colophon made its debut in February 1927 on the cover of a little pamphlet called ""Announcement Number One."" Bennett Cerf and Donald Klopfer, the company's founders, had acquired the Modern Library from publishers Boni and Liveright two years earlier. One day, their friend the illustrator Rockwell Kent stopped by their office. Cerf later recalled, ""Rockwell was sitting at my desk facing Donald, and we were talking about doing a few books on the side, when suddenly I got an inspiration and said, 'I've got the name for our publishing house. We just said we were go-ing to publish a few books on the side at random. Let's call it Random House.' Donald liked the idea, and Rockwell Kent said, 'That's a great name. I'll draw your trademark.' So, sitting at my desk, he took a piece of paper and in five minutes drew Random House, which has been our colophon ever since."" Throughout the years, the mission of Random House has remained consistent: to publish books of the highest quality, at random. We are proud to continue this tradition today. This edition is set from the first American edition of 1937 and commemorates the seventy-fifth anniversary of Random House.",American Literature & Classic Prose,Literary Classics
Toxin,Robin Cook,"When his daughter, Becky, becomes ill from bacterial poisoning, Dr. Kim Reggis, a cardiac surgeon, is determined to track down the cause, no matter what the cost",Medical Thrillers,Action & Psychological Thrillers
Pride and Prejudice,Jane Austen,"""It is a truth universally acknowledged, that a single man in possession of a good fortune must be in want of a wife"". So begins Pride and Prejudice, Jane Austen's perfect comedy of manners - one of the most popular novels of all time - that features splendidly civilized sparring between the proud Mr. Darcy and the prejudiced Elizabeth Bennet as they play out their spirited courtship in a series of eighteenth-century drawing-room intrigue.",Historical Time-Travel Romance,Romance & Relationships
Falling Leaves: The True Story of an Unwanted Chinese Daughter,Adeline Yen Mah,"The emotionally wrenching yet ultimately uplifting memoir of a Chinese woman struggling to win the love and acceptance of her family. Born in 1937 in a port city a thousand miles north of Shanghai, Adeline Yen Mah was the youngest child of an affluent Chinese family who enjoyed rare privileges during a time of political and cultural upheaval. But wealth and position could not shield Adeline from a childhood of appalling emotional abuse at the hands of a cruel and manipulative stepmother. Determined to survive through her enduring faith in family unity, Adeline struggled for independence as she moved from Hong Kong to England and eventually to the United States to become a physician and writer. A compelling, painful, and ultimately triumphant story of a girl's journey into adulthood, Adeline's story is a testament to the most basic of human needs: acceptance, love, and understanding. With a powerful voice that speaks of the harsh realities of growing up female in a family and society that kept girls in emotional chains, Falling Leaves is a work of heartfelt intimacy and a rare authentic portrait of twentieth-century China. ""Riveting. A marvel of memory. Poignant proof of the human will to endure."" —Amy Tan",Spiritual & Mindfulness,Spiritual & Mindfulness
Revenge of the Middle-Aged Woman,Elizabeth Buchan,"A New York Times bestseller! “Wise and wonderful. . . Buchan celebrates the patience and wisdom that only age can bring.” —USA Today “Bottom line: Get Revenge.” —People Get ready to cheer for Rose Lloyd, a woman of young middle-age who proves that starting over doesn’t have an age limit. After twenty-five years spent juggling husband, career, and kids with admirable success, Rose suddenly finds both her marriage and her career in unexpected ruin. Forced to begin a new life, she is at first terrified, then energized, by her newfound freedom—it’s amazing what prolonged reflection, a little weight loss, a new slant on independence, and some Parisian lingerie will do for the psyche! Witty, insightful, and emotionally resonant, Buchan’s novel will strike a chord with anyone who has ever wondered what Middle Age would look like from the other side of the looking glass (answer: much better than you could ever expect).",Relationships and Family Dynamics,Romance & Relationships
Plainsong,Kent Haruf,"A heartstrong story of family and romance, tribulation and tenacity, set on the High Plains east of Denver. In the small town of Holt, Colorado, a high school teacher is confronted with raising his two boys alone after their mother retreats first to the bedroom, then altogether. A teenage girl -- her father long since disappeared, her mother unwilling to have her in the house -- is pregnant, alone herself, with nowhere to go. And out in the country, two brothers, elderly bachelors, work the family homestead, the only world they've ever known. From these unsettled lives emerges a vision of life, and of the town and landscape that bind them together -- their fates somehow overcoming the powerful circumstances of place and station, their confusion, curiosity, dignity and humor intact and resonant. As the milieu widens to embrace fully four generations, Kent Haruf displays an emotional and aesthetic authority to rival the past masters of a classic American tradition. Utterly true to the rhythms and patterns of life, Plainsong is a novel to care about, believe in, and learn from.",Teen Coming-of-Age,Romance & Relationships
Santa Fe Rules,Stuart Woods,A Hollywood producer and his Indian lawyer unraval the mystery of a murder in Santa Fe.,Crime Thrillers and Detective Drama,Crime & Detective Fiction
Private Screening,Richard North Patterson,"""Thrilling.... PRIVATE SCREENING succeeds on all counts. It's a footrace of a read, daring you to put it down."" ATLANTA JOURNAL & CONSTITUTION The nation is stunned silent when presidential hopeful James Kilcannon is shot dead in front of his rock-star girlfriend Stacy Tarrant. Fiercely independent attorney Tony Lord dares to defend the shooter, but the already bizarre plot takes another twist. As America watches, a mysterious and ruthless figure, known only as Phoenix, takes to the airwaves-- and takes the wife of a wealthy newspaper mogul and Stacy's manager as his hostages. Phoenix mounts a televised trial of his own--in which Stacy Tarrant and Tony Lord are helpless defendents, millions of viewers are jurors, and--unless his chilling demands are met--Pheonix is the unstoppable executioner....",Crime Thrillers and Detective Drama,Crime & Detective Fiction
Moon Music (Peter Decker &amp; Rina Lazarus Novels (Paperback)),Faye Kellerman,"In the bleak wasteland of the Nevada desert, not far from the sparkling, 24-hour neon of the world famous Las Vegas Strip, the body of a once-beautiiful showgirl is discovered, horribly mauled and mutilated. It is a horrendous crime, shocking in its brutality, excessive even for a city celebrated for its excess. Seasoned police veteran and Vegas native Detective Sergeant Romulus Poe has seen his fair share of depravity in this mecca of glitz and vice. But there is something about this unfortunate young woman's death -- and in a similar murder that is to follow soon after -- that harkens back to an unsolved slaying and so-called suicide a quarter-century ago. The grim similarities -- along with some frightening new possibilities -- are leading Poe into a night world of dark shadows best left unilluminated..and pulling the inquisitive policeman toward secrets from a strange and sordid past that could destroy those closest to him, and drag him over the edge.",Murder Mystery,Crime & Detective Fiction
